Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts,Index Future Net,Index Call Net,Index Put Net,Index Net Long,Stock Future Net,Stock Call Net,Stock Put Net,Stock Net Long
02-03-2020,FII,35795,150826,867624,555876,170344,329945,92212,115873,12129,10918,11572,8915,1426755,935274,-115031,78132,214072,-250971,311748,557,2003,310302
02-03-2020,Pro,19604,15809,160627,56282,139365,159586,272052,191522,31956,71208,94093,38663,582346,668421,3795,-132687,-31936,-96956,104345,-62137,32545,9663
02-03-2020,TOTAL,266876,266876,1801427,1801427,988310,971785,988310,971785,238974,157550,238974,157550,4424922,4424922,0,0,0,0,0,0,0,0
02-03-2021,Client,144607,131637,756018,173179,1057699,941245,1026153,1043753,427272,129405,267172,207051,3456246,2848945,12970,31546,-102508,147024,582839,160100,-77646,820585
02-03-2021,DII,582,33410,26637,831138,267,11060,0,0,0,0,8798,0,38546,873346,-32828,267,11060,-43621,-804501,-8798,0,-813299
02-03-2021,FII,76501,52118,651631,529038,200012,300643,148787,182004,27384,27376,35265,26314,1283547,973526,24383,51225,118639,-43031,122593,-7881,1062,113650
02-03-2021,Pro,26411,30936,181188,82119,348929,336578,431967,363769,79391,141179,222812,64595,1113676,1196198,-4525,-83038,-27191,-60372,99069,-143421,76584,-120936
02-03-2021,TOTAL,248101,248101,1615474,1615474,1606907,1589526,1606907,1589526,534047,297960,534047,297960,5892015,5892015,0,0,0,0,0,0,0,0
02-06-2020,Client,105513,133205,427912,185641,489585,834083,508101,826247,165144,119671,141791,103800,2141908,1898785,-27692,-18516,7836,-54044,242271,23353,15871,249753
02-06-2020,DII,36215,10609,62290,907893,4584,67825,0,0,13,0,426,0,170927,918928,25606,4584,67825,-37635,-845603,-413,0,-846016
02-06-2020,FII,74019,49124,1055160,503443,183060,195654,121160,127992,10797,12587,15394,16702,1531277,833815,24895,61900,67662,19133,551717,-4597,-4115,551235
02-06-2020,Pro,23605,46414,131858,80243,180301,165910,228269,309233,83685,65244,102028,77000,650603,843187,-22809,-47968,-143323,72546,51615,-18343,-11756,45028
02-06-2020,TOTAL,239352,239352,1677220,1677220,857530,1263472,857530,1263472,259639,197502,259639,197502,4494715,4494715,0,0,0,0,0,0,0,0
02-06-2021,Client,115020,140227,1046620,158661,1231357,1212443,1260223,1358173,627841,196589,377808,289014,4429870,3584106,-25207,-28866,-145730,91657,887959,250033,-92425,1230417
02-06-2021,DII,2231,41545,32664,1085753,267,52457,0,0,0,0,41825,0,87619,1169123,-39314,267,52457,-91504,-1053089,-41825,0,-1094914
02-06-2021,FII,95707,16842,697989,676991,303486,321293,203692,188529,43636,42927,67381,39426,1505038,1192861,78865,99794,132764,45895,20998,-23745,3501,-6248
02-06-2021,Pro,10747,25091,223625,79493,375546,375335,446741,414826,138056,194295,322519,105371,1317604,1394041,-14344,-71195,-39491,-46048,144132,-184463,88924,-129255
02-06-2021,TOTAL,223705,223705,2000898,2000898,1910656,1961528,1910656,1961528,809533,433811,809533,433811,7340131,7340131,0,0,0,0,0,0,0,0
02-07-2020,Client,131430,121716,429468,222634,371747,526375,395172,579809,238811,109640,175388,123523,1807471,1618242,9714,-23425,-53434,39723,206834,63423,-13883,284140
02-07-2020,DII,19577,16412,35859,822107,287,39353,0,0,0,0,4190,0,95076,842709,3165,287,39353,-35901,-786248,-4190,0,-790438
02-07-2020,FII,45179,48255,925976,396534,142498,182469,113297,119920,19305,16829,27802,17218,1332256,723026,-3076,29201,62549,-36424,529442,-8497,-389,521334
02-07-2020,Pro,19240,29043,121796,71824,155550,162769,161613,211237,78177,82699,128913,68427,620231,671057,-9803,-6063,-48468,32602,49972,-50736,14272,-15036
02-07-2020,TOTAL,215426,215426,1513099,1513099,670082,910966,670082,910966,336293,209168,336293,209168,3855034,3855034,0,0,0,0,0,0,0,0
02-07-2021,Client,166452,176152,1171319,170041,1128978,1028634,1190321,1260653,751440,219865,460197,370763,4466688,3628127,-9700,-61343,-232019,160976,1001278,291243,-150898,1443419
02-07-2021,DII,1945,57834,22378,1165246,401,24684,0,0,0,0,54751,0,49408,1277831,-55889,401,24684,-80172,-1142868,-54751,0,-1197619
02-07-2021,FII,87447,29573,672407,714572,214266,302772,137101,154294,45032,47334,71831,35772,1369258,1143143,57874,77165,148478,-13439,-42165,-26799,11562,-80526
02-07-2021,Pro,28462,20747,257287,73532,333496,366114,349718,307257,135554,235212,345247,95876,1356125,1192377,7715,-16222,58857,-67364,183755,-209693,139336,-165274
02-07-2021,TOTAL,284306,284306,2123391,2123391,1677140,1722204,1677140,1722204,932026,502411,932026,502411,7241477,7241477,0,0,0,0,0,0,0,0
02-09-2020,Client,102848,100811,565080,144492,864188,846079,747859,931914,360327,109235,223061,167159,2847757,2315296,2037,116329,-85835,204201,420588,137266,-57924,615778
02-09-2020,DII,7943,32558,29767,729251,267,40564,0,0,0,0,2228,0,78541,764037,-24615,267,40564,-64912,-699484,-2228,0,-701712
02-09-2020,FII,79213,51982,697581,516718,179004,283530,135105,171885,18979,18977,24727,12001,1277284,912418,27231,43899,111645,-40515,180863,-5748,6976,168139
02-09-2020,Pro,19536,24189,161372,63339,228168,245383,388663,311757,71270,118966,200560,68018,844695,1056526,-4653,-160495,-66374,-98774,98033,-129290,50948,-82205
02-09-2020,TOTAL,209540,209540,1453800,1453800,1271627,1415556,1271627,1415556,450576,247178,450576,247178,5048277,5048277,0,0,0,0,0,0,0,0
02-11-2020,Client,146409,100771,622491,196540,551683,777914,585629,892648,291518,97939,187376,138893,2487954,2101857,45638,-33946,-114734,126426,425951,104142,-40954,571047
02-11-2020,DII,1943,29265,22725,796134,267,29563,0,0,0,9,360,0,54507,825759,-27322,267,29563,-56618,-773409,-360,9,-773778
02-11-2020,FII,50888,57699,725464,460268,158501,270815,118090,175185,10405,13046,14465,11946,1229119,837653,-6811,40411,95630,-62030,265196,-4060,1100,260036
02-11-2020,Pro,18259,29764,144951,62689,230966,264088,237698,274547,62494,93845,162216,54000,814603,820914,-11505,-6732,-10459,-7778,82262,-99722,39845,-57305
02-11-2020,TOTAL,217499,217499,1515631,1515631,941417,1342380,941417,1342380,364417,204839,364417,204839,4586183,4586183,0,0,0,0,0,0,0,0
02-12-2020,Client,101963,129477,631019,161132,919570,1008015,861548,1106442,313325,115610,206717,150703,3089502,2616019,-27514,58022,-98427,128935,469887,106608,-35093,611588
02-12-2020,DII,1371,41750,29354,757895,267,29744,0,0,0,0,398,0,60736,800043,-40379,267,29744,-69856,-728541,-398,0,-728939
02-12-2020,FII,106110,31096,763577,572304,206424,271214,144094,186244,11373,16346,17949,13180,1375044,964867,75014,62330,84970,52374,191273,-6576,3166,181531
02-12-2020,Pro,23837,30958,152572,85191,252253,295514,372872,311801,79532,103630,179166,71703,907338,1051691,-7121,-120619,-16287,-111453,67381,-99634,31927,-64180
02-12-2020,TOTAL,233281,233281,1576522,1576522,1378514,1604487,1378514,1604487,404230,235586,404230,235586,5432620,5432620,0,0,0,0,0,0,0,0
03-01-2020,Client,117793,113091,717492,208157,482248,475339,560356,689297,186188,88027,151599,116209,2067087,1838709,4702,-78108,-213958,140552,509335,34589,-28182,572106
03-01-2020,DII,44660,35658,19258,1094169,4317,65841,0,0,0,0,673,0,134076,1130500,9002,4317,65841,-52522,-1074911,-673,0,-1075584
03-01-2020,FII,61479,58713,982020,475101,179346,270074,73523,95257,9890,15665,10972,9636,1518474,723202,2766,105823,174817,-66228,506919,-1082,6029,499808
